Experiment,v1_mean,v2_mean,v3_mean,v4_mean,a_mean,ndt1_mean,ndt2_mean,ndt3_mean,ndt4_mean,alpha_mean,v1_mode,v2_mode,v3_mode,v4_mode,a_mode,ndt1_mode,ndt2_mode,ndt3_mode,ndt4_mode,alpha_mode
1010_associative_priming_part_2.dat,1.2880372110709482,0.7528791708693998,-1.4500186510117787,-1.2036263651519317,0.8746435814394549,0.5125390054944998,0.5480780855606804,0.5094223491990285,0.4915979694631336,1.4992054187254926,"ModeResult(mode=0.8107486121856036, count=1)","ModeResult(mode=0.19515368753593032, count=1)","ModeResult(mode=-2.1921087611473506, count=1)","ModeResult(mode=-1.8898738745256545, count=1)","ModeResult(mode=0.9142927136218252, count=2)","ModeResult(mode=0.47402148733922245, count=1)","ModeResult(mode=0.5095457217552277, count=1)","ModeResult(mode=0.5124897088523457, count=2)","ModeResult(mode=0.4870925648913639, count=2)","ModeResult(mode=1.1244192578394199, count=1)"
2013_associative_priming_part_2.dat,1.7801828031159483,2.0141621002486443,-2.1175987023042655,-1.7888736786517716,1.001661299927611,0.5011384062536867,0.5343083646148756,0.4614326233844142,0.4322937414054286,1.7113017678696907,"ModeResult(mode=0.9507215755253993, count=1)","ModeResult(mode=1.3153330434813457, count=1)","ModeResult(mode=-2.8717925420059425, count=1)","ModeResult(mode=-2.4132817606649892, count=1)","ModeResult(mode=0.7702925269499681, count=1)","ModeResult(mode=0.4554510964963135, count=1)","ModeResult(mode=0.49394717338679767, count=1)","ModeResult(mode=0.42625351776360293, count=1)","ModeResult(mode=0.40146890988419903, count=1)","ModeResult(mode=1.3605544241639247, count=1)"
4010_associative_priming_part_2.dat,2.4810055583627117,2.2627632270655225,-2.4645880372133275,-2.5144606418714726,1.5062949849477414,0.5578986044422866,0.5263433158601807,0.47687196997505565,0.47371872973466383,1.8512238357330417,"ModeResult(mode=1.8063199564626018, count=1)","ModeResult(mode=1.5942189007318817, count=1)","ModeResult(mode=-3.2043224356482574, count=1)","ModeResult(mode=-3.390748991057455, count=1)","ModeResult(mode=1.2352438175366505, count=1)","ModeResult(mode=0.4891306882865973, count=1)","ModeResult(mode=0.465290880591281, count=1)","ModeResult(mode=0.41993290900353986, count=1)","ModeResult(mode=0.416444369254475, count=1)","ModeResult(mode=1.5155946492364374, count=1)"
4006_associative_priming_part_1.dat,2.484076663543086,2.2818051737523968,-3.1538916153559433,-2.9045171478103113,1.5282617553971072,0.4786281478662587,0.4740741554096181,0.44925628648142735,0.4590376966766605,1.5295738000869956,"ModeResult(mode=1.6828398164522502, count=1)","ModeResult(mode=1.1964384571113147, count=1)","ModeResult(mode=-4.1467468745185645, count=1)","ModeResult(mode=-3.8977869873865174, count=1)","ModeResult(mode=1.1309920841639134, count=1)","ModeResult(mode=0.3711319062470346, count=1)","ModeResult(mode=0.4094413581357441, count=1)","ModeResult(mode=0.39648793871844223, count=1)","ModeResult(mode=0.31752055543719704, count=1)","ModeResult(mode=1.2558406859941844, count=1)"
1001_associative_priming_part_2.dat,3.120807669520482,2.528902570031618,-3.195031384612441,-2.895352164584712,1.2881532206599773,0.5107116961110431,0.5084212057519277,0.49316239152500224,0.483353975613613,1.901577582549484,"ModeResult(mode=2.2614248815085403, count=1)","ModeResult(mode=1.690683020106707, count=1)","ModeResult(mode=-4.058754476285342, count=1)","ModeResult(mode=-3.8880547989512415, count=1)","ModeResult(mode=1.0764998017211365, count=1)","ModeResult(mode=0.5172171075082619, count=2)","ModeResult(mode=0.5201594751967441, count=2)","ModeResult(mode=0.452133451228381, count=1)","ModeResult(mode=0.4307494790582658, count=1)","ModeResult(mode=1.6359856404477398, count=1)"
2015_associative_priming_part_2.dat,2.6448882779645917,2.8607132535796636,-2.509853278920845,-2.473651119562421,1.2560689724681133,0.4629759248370582,0.4918857236204315,0.4314444461689857,0.4556970440576938,1.5222428092753266,"ModeResult(mode=1.896167152937395, count=1)","ModeResult(mode=1.8126071416320728, count=1)","ModeResult(mode=-3.4540014516713695, count=1)","ModeResult(mode=-3.3921794756228367, count=1)","ModeResult(mode=0.9338572289906324, count=1)","ModeResult(mode=0.38667655909972176, count=1)","ModeResult(mode=0.44315878531199693, count=1)","ModeResult(mode=0.3796975643605603, count=1)","ModeResult(mode=0.39992431065285483, count=1)","ModeResult(mode=1.2297421788497405, count=1)"
1002_associative_priming_part_1.dat,2.0528161480056992,1.6018591968337055,-1.9138271218393974,-2.006743029451645,1.4784610945840273,0.552210491114018,0.5603858223580189,0.45715442457333255,0.4988428411388038,1.8823765082265573,"ModeResult(mode=1.1351938282801115, count=1)","ModeResult(mode=1.0450758639708975, count=1)","ModeResult(mode=-2.7237023510074834, count=1)","ModeResult(mode=-2.638866467784357, count=1)","ModeResult(mode=1.454787693132027, count=2)","ModeResult(mode=0.49274042596713097, count=1)","ModeResult(mode=0.4948186023244629, count=1)","ModeResult(mode=0.44647266645805855, count=2)","ModeResult(mode=0.4426539323305087, count=1)","ModeResult(mode=1.5888960144688768, count=1)"
2029_associative_priming_part_1.dat,2.621414762846904,2.395793019144736,-2.3261054399356906,-2.2358078173372644,1.5516634689804432,0.53906504388422,0.5453395752868014,0.4748408297834945,0.43789503483001896,1.598051876768232,"ModeResult(mode=1.9000810430068649, count=1)","ModeResult(mode=1.3229558336472818, count=1)","ModeResult(mode=-3.301337918278179, count=1)","ModeResult(mode=-2.9511587289634478, count=1)","ModeResult(mode=1.0660531962328985, count=1)","ModeResult(mode=0.4599828979215422, count=1)","ModeResult(mode=0.4507631008746735, count=1)","ModeResult(mode=0.35379123584831923, count=1)","ModeResult(mode=0.35299772394365675, count=1)","ModeResult(mode=1.2340624059580216, count=1)"
1022_associative_priming_part_1.dat,1.4429344938558275,1.3573558107067623,-1.5807877953363616,-1.9291376376182616,1.3926712443234328,0.5174383318774093,0.5546818891739838,0.4578971352038767,0.45814274804935473,1.7311297403806003,"ModeResult(mode=0.8839293493577944, count=1)","ModeResult(mode=0.8639851290595812, count=1)","ModeResult(mode=-2.1564681616856904, count=1)","ModeResult(mode=-2.720329657291846, count=1)","ModeResult(mode=1.1769091438782446, count=1)","ModeResult(mode=0.536588636725493, count=2)","ModeResult(mode=0.4957980573640445, count=1)","ModeResult(mode=0.3817246984041041, count=1)","ModeResult(mode=0.4605218333220301, count=2)","ModeResult(mode=1.4230136499108477, count=1)"
3005_associative_priming_part_1.dat,1.643539376657753,1.5741722349890506,-2.279620638093242,-1.638505120919795,1.1115136005119761,0.5190150775114543,0.5620031192320379,0.5141120347749734,0.4694347221585289,1.6030719491534113,"ModeResult(mode=1.1027625579489453, count=1)","ModeResult(mode=1.0051970501839687, count=1)","ModeResult(mode=-3.031386434663043, count=1)","ModeResult(mode=-2.3269625154645412, count=1)","ModeResult(mode=0.8694413555988264, count=1)","ModeResult(mode=0.5362682998689069, count=2)","ModeResult(mode=0.5104915577810535, count=1)","ModeResult(mode=0.4803005124367454, count=1)","ModeResult(mode=0.4130555381209993, count=1)","ModeResult(mode=1.2342804967677872, count=1)"
4026_associative_priming_part_1.dat,2.069161692092299,1.665450614548493,-2.1202301412885927,-1.9209196850635357,1.825258050933561,0.5782737920941047,0.5500585045629941,0.48143865657511015,0.469432008737135,1.9849241375598459,"ModeResult(mode=1.545205133873692, count=1)","ModeResult(mode=1.0842549785070072, count=1)","ModeResult(mode=-2.074649965348028, count=2)","ModeResult(mode=-2.457244746110134, count=1)","ModeResult(mode=1.5772832089901778, count=1)","ModeResult(mode=0.5794918023059561, count=2)","ModeResult(mode=0.4686679983491476, count=1)","ModeResult(mode=0.4153574478968261, count=1)","ModeResult(mode=0.3926439182210654, count=1)","ModeResult(mode=1.8332260289627964, count=1)"
3018_associative_priming_part_2.dat,2.7028330578821813,2.4995774028165147,-3.391800335315367,-2.485268315490436,1.7553125685745945,0.4455122964282534,0.4268403226176625,0.42510470839393244,0.3709895145326131,1.4054488649001016,"ModeResult(mode=1.8936082868730049, count=1)","ModeResult(mode=1.6773101870134708, count=1)","ModeResult(mode=-4.533938828756495, count=1)","ModeResult(mode=-3.5219149967715584, count=1)","ModeResult(mode=1.2151818660984284, count=1)","ModeResult(mode=0.3394569793662379, count=1)","ModeResult(mode=0.3521381752349663, count=1)","ModeResult(mode=0.35679027747514896, count=1)","ModeResult(mode=0.2951744794546554, count=1)","ModeResult(mode=1.0848037588713972, count=1)"
