participant,v1,v2,a,ndt,alpha,accuracy_percentage,mean_log_rt,RT_mean_correct_error,mean_correct,mean_Crror,log_alpha_mean,error_array,RT_Cor_arr
1,1.1798868498532649,-1.2280708459455312,1.114645483951384,0.40822081367028057,1.7395434358448008,0.8436685773840542,6.574302985690302,0.7554841063053674,0.7468171710932674,0.8022566666666666,0.5530324264099741,"3       1.107
4       0.740
15      0.850
25      0.761
26      0.804
        ...  
1879    0.638
1880    1.193
1896    0.934
1907    0.579
1917    0.839
Name: rt, Length: 300, dtype: float64","0       0.680
1       0.708
2       0.611
5       0.544
6       0.964
        ...  
1913    0.544
1914    0.466
1915    0.608
1916    0.694
1918    0.646
Name: rt, Length: 1619, dtype: float64"
2,0.8282308866543286,-0.9413982881657419,0.9918038623518977,0.4347701869556734,1.624939036543751,0.7718670076726343,6.615581039460633,0.7820634271099745,0.7745354539430085,0.8075336322869956,0.48452966642298945,"1921    1.079
1927    1.083
1928    1.180
1941    0.989
1943    1.199
        ...  
3856    0.640
3858    0.724
3863    0.858
3868    0.902
3871    0.785
Name: rt, Length: 446, dtype: float64","1919    1.270
1920    0.724
1922    0.872
1923    1.061
1924    0.854
        ...  
3867    0.548
3869    0.795
3870    0.685
3872    0.697
3873    0.637
Name: rt, Length: 1509, dtype: float64"
3,1.1090449713951709,-0.7170432715043773,1.623875374909063,0.4929649023981271,1.7593630826486912,0.8323878287777204,6.95686608371316,1.1370278494069108,1.1144752168525403,1.2490276923076922,0.5644112443344187,"3884    1.413
3888    1.929
3889    1.045
3892    0.777
3898    1.266
        ...  
5801    1.701
5802    0.843
5804    1.086
5807    1.606
5812    1.552
Name: rt, Length: 325, dtype: float64","3874    1.454
3875    1.726
3876    2.070
3877    1.389
3878    1.871
        ...  
5806    0.594
5808    1.064
5809    0.724
5810    1.079
5811    0.647
Name: rt, Length: 1614, dtype: float64"
4,1.4806165933407294,-1.2759766752848998,1.266289244833666,0.4831438383115728,1.8437359887817504,0.8812596799173981,6.704219211606278,0.8579669592152814,0.8463116578793204,0.9444695652173913,0.6114028102682515,"5845    1.150
5856    1.665
5878    1.283
5879    1.282
5892    1.351
        ...  
7694    0.807
7705    0.815
7715    1.438
7723    0.694
7729    0.805
Name: rt, Length: 230, dtype: float64","5813    1.013
5814    1.144
5815    0.989
5816    1.076
5817    1.396
        ...  
7745    0.866
7746    0.716
7747    0.624
7748    0.867
7749    1.077
Name: rt, Length: 1707, dtype: float64"
5,2.993550044774848,-2.2939446735146807,0.9224570868052244,0.38849921478012484,1.5788171737668948,0.9434940383618455,6.320627813357726,0.5651285640228098,0.5638961538461538,0.5857064220183487,0.45631618401820323,"7777    0.557
7781    0.679
7866    0.485
7884    0.533
7887    0.679
        ...  
9575    0.767
9631    0.627
9661    0.604
9662    0.734
9663    0.713
Name: rt, Length: 109, dtype: float64","7750    0.539
7751    0.524
7752    0.526
7753    0.595
7754    0.648
        ...  
9674    0.627
9675    0.869
9676    0.495
9677    0.745
9678    0.580
Name: rt, Length: 1820, dtype: float64"
6,1.2993661129021827,-0.9456282270550702,0.625286031848109,0.35408226878236376,1.170932272438326,0.8078310149407522,6.362023129307567,0.590340030911901,0.5923558673469388,0.5818659517426273,0.15702038749351732,"9683     0.540
9687     0.735
9691     0.842
9693     0.569
9702     0.664
         ...  
11590    0.631
11599    0.502
11604    0.602
11609    0.883
11615    0.552
Name: rt, Length: 373, dtype: float64","9679     0.719
9680     0.717
9681     0.511
9682     0.621
9684     0.666
         ...  
11614    0.596
11616    0.606
11617    0.582
11618    0.936
11619    0.821
Name: rt, Length: 1568, dtype: float64"
7,1.008366682543046,-0.80519775982522,1.1504340273143083,0.4746871311781707,1.494953883682334,0.8036269430051813,6.77036815073529,0.9181963730569949,0.9061360412637007,0.9675514511873351,0.40091563612587844,"11622    1.231
11625    0.950
11628    1.254
11632    1.079
11637    1.088
         ...  
13533    1.076
13536    0.857
13538    0.939
13539    0.680
13547    1.014
Name: rt, Length: 379, dtype: float64","11620    0.709
11621    0.663
11623    1.233
11624    1.569
11626    1.394
         ...  
13544    0.991
13545    0.925
13546    0.684
13548    0.979
13549    0.742
Name: rt, Length: 1551, dtype: float64"
8,0.99510433360053,-1.0457076421112856,1.035300397834849,0.43642479374460197,1.4489804941287003,0.8113496932515337,6.652258425372515,0.812308282208589,0.8008557025834909,0.8615636856368565,0.3699478544175982,"13552    1.130
13556    1.063
13558    0.444
13564    0.456
13566    0.487
         ...  
15488    0.777
15492    0.569
15496    0.697
15497    0.891
15500    0.424
Name: rt, Length: 369, dtype: float64","13550    0.829
13551    0.662
13553    0.568
13554    0.702
13555    0.715
         ...  
15501    0.745
15502    0.503
15503    0.858
15504    1.362
15505    1.180
Name: rt, Length: 1587, dtype: float64"
9,1.214424923746677,-1.2413769967070258,0.7789870237916814,0.26316505186777256,1.063215050436541,0.7708333333333334,6.27217402178237,0.5356112804878049,0.5407673038892551,0.5182682926829268,0.0609017465035755,"15512    0.466
15514    0.499
15515    0.516
15522    0.640
15524    0.584
         ...  
17445    0.491
17446    0.540
17461    0.513
17467    0.402
17471    0.613
Name: rt, Length: 451, dtype: float64","15506    0.587
15507    0.694
15508    0.605
15509    0.504
15510    0.609
         ...  
17468    0.490
17469    0.536
17470    0.580
17472    0.613
17473    0.504
Name: rt, Length: 1517, dtype: float64"
10,0.5855024075187257,0.04623919513686653,0.6380118445607564,0.21082761969197486,1.017356182807021,0.6004464285714286,6.34398557136397,0.6016813616071428,0.6232834572490706,0.5692178770949721,0.01595576552956253,"17477    0.746
17480    0.761
17485    0.714
17486    1.152
17491    0.960
         ...  
19250    0.636
19252    0.231
19254    0.395
19255    0.356
19259    0.575
Name: rt, Length: 716, dtype: float64","17474    0.715
17475    0.814
17476    0.574
17478    1.221
17479    0.773
         ...  
19261    0.388
19262    0.585
19263    0.536
19264    0.427
19265    0.207
Name: rt, Length: 1076, dtype: float64"
